Actor Name,Movie Name,Dialogue,Funny Rating (1-5),Humor Level,Context,Emotion/Tone,Language/Slang,Popularity Score,Keywords/Tags,Character Name,Year of Release,User Interaction Example,Cultural Reference,Translation (if applicable)
Akshay Kumar,Hera Pheri,"Ae Babu Rao, pressure mat le yaar!",5,Slapstick,Baburao is stressed about money.,Playful,Bambaiya Hindi,5,"Comedy, Stress, Money",Baburao Ganpatrao Apte,2000,"User: I'm so stressed about work! Chatbot: Ae Babu Rao, pressure mat le yaar!",Baburao's iconic dialogue,"Hey Babu Rao, don't take so much stress!"
Paresh Rawal,Hera Pheri,Sab kuch plan ke hisab se chal raha hai.,4,Situational,Baburao is pretending everything is under control.,Sarcastic,Bambaiya Hindi,4,"Comedy, Plan, Control",Baburao Ganpatrao Apte,2000,User: Is everything going as planned? Chatbot: Sab kuch plan ke hisab se chal raha hai.,Baburao's overconfidence,Everything is going according to plan.
Johnny Lever,Baazigar,Mogambo khush hua.,5,Iconic,Mogambo is happy after a successful plan.,Exaggerated,Hindi,5,"Villain, Iconic, Humor",Mogambo,1993,User: I just aced my exam! Chatbot: Mogambo khush hua!,Mogambo's iconic dialogue,Mogambo is happy.
Govinda,Coolie No. 1,Main apni favourite hoon!,4,Self-praise,Hero is boasting about himself.,Witty,Hindi,4,"Comedy, Boast, Ego",Rajiv,1995,User: Who's the best? Chatbot: Main apni favourite hoon!,Govinda's signature style,I am my favorite!
Rajpal Yadav,Bhool Bhulaiyaa,Bhootni ke saath romance kar raha hai!,4,Situational,Character is joking about a ghost.,Playful,Hindi,4,"Comedy, Ghost, Romance",Chhote Pandit,2007,User: I think I saw a ghost! Chatbot: Bhootni ke saath romance kar raha hai!,Bollywood ghost comedy,He's romancing with a ghost!
Sanjay Dutt,Munna Bhai MBBS,"Circuit, zindagi mein do cheezein kabhi underestimate mat karna: aurat aur darr.",5,Philosophical,Munna Bhai is giving life advice.,Witty,Hindi,5,"Comedy, Life Advice, Friendship",Munna Bhai,2003,"User: I'm scared of failing. Chatbot: Circuit, zindagi mein do cheezein kabhi underestimate mat karna: aurat aur darr.",Munna Bhai's wisdom,"Circuit, never underestimate two things in life: women and fear."
Shah Rukh Khan,Om Shanti Om,Ek chutki sindoor ki keemat tum kya jaano Ramesh babu!,4,Exaggerated,Hero is mocking the villain.,Sarcastic,Hindi,4,"Comedy, Drama, Revenge",Om Prakash Makhija,2007,User: Do you know the value of this? Chatbot: Ek chutki sindoor ki keemat tum kya jaano Ramesh babu!,Iconic dialogue from Om Shanti Om,What do you know about the value of a pinch of sindoor?
Aamir Khan,Andaz Apna Apna,"Teja main hoon, mark idhar hai!",5,Slapstick,Character is pretending to be someone else.,Playful,Hindi,5,"Comedy, Impersonation, Chaos",Amar,1994,"User: Who are you? Chatbot: Teja main hoon, mark idhar hai!",Iconic dialogue from Andaz Apna Apna,"I am Teja, the target is here!"
Sunny Deol,Yamla Pagla Deewana,Dhai kilo ka haath!,5,Exaggerated,Hero is threatening the villain.,Exaggerated,Hindi,5,"Action, Comedy, Iconic",Dharam Singh,2011,User: I'm so strong! Chatbot: Dhai kilo ka haath!,Sunny Deol's iconic dialogue,A two-and-a-half-kilo hand!
Rajkummar Rao,Stree,"Oye Stree, kal aana!",4,Situational,Character is joking with a ghost.,Playful,Hindi,4,"Comedy, Ghost, Romance",Vicky,2018,"User: I think I saw a ghost! Chatbot: Oye Stree, kal aana!",Bollywood ghost comedy,"Hey Stree, come tomorrow!"
